address,latitude,longitude
4 Lavender Place,-38.0119916,145.323509
32 Bridgewater Boulevard,-38.0645508,145.3477235
28 Bridgewater Boulevard,-38.0642575,145.3478046
9 Lowanna Street,-38.0428178,145.3600675
4 Brewster Street,-38.0617419,145.3326367
4 Norwich Drive,-38.0707819,145.3542367
9A Pettit Close,-38.0420635,145.3279999
90 Bernly Boulevard,-38.0649502,145.3454998
77 Broadway Street,-38.0719155,145.3699166
15 Michelle Drive,-38.0565853,145.3360085
2 Landra Court,-38.0583507,145.3543466
6136 Centre Road,-38.0504057,145.3367224
4/17 Margaret Street,-38.0341046,145.3406598
37 Highfielde Avenue,-38.0110465,145.3207306
8 Illowra Court,-38.0205107,145.3247067
4 Dempster Way,-38.0436477,145.3316466
2/17 Reserve Street,-38.0365763,145.3443904
14 Buchanan Road,-38.0281222,145.3564232
16 Brent Close,-38.0560253,145.3589996
30 Infantry Way,-38.0506833,145.3198192
100 Bemersyde Drive,-38.0566295,145.3469579
5 Santorini Parade,-38.0750895,145.3739968
4 Mansfield Street,-38.0328033,145.3423118
14 Ashfield Drive,-38.0524186,145.3370289
90 Bellevue Drive,-38.0475601,145.3292205
22 Marsh Grove,-38.0631644,145.334472
60 Wurundjeri Boulevard,-38.0720781,145.3514477
8 Ryan Court,-38.0407928,145.3549715
29 Nixon Drive,-38.0620278,145.3584659
16 McNaughton Crescent,-38.0531448,145.3259816
75 Homestead Road,-38.0548076,145.3306167
13 Apsley Terrace,-38.0562988,145.3295164
6 Coolabah Grove,-38.0228216,145.3229289
8 Tulk Street,-38.0505613,145.3269915
9 Howard Place,-38.0456599,145.3330135
11 Bemersyde Drive,-38.0494002,145.3434091
46 Marlborough Road,-38.0743422,145.361428
46 Jamieson Way,-38.0664064,145.3350743
12 Newman Court,-38.0358643,145.3511509
5 Barton Mews,-38.0537668,145.3531445
3/31 Homestead Road,-38.0541694,145.3271726
21 Hagen Drive,-38.0175818,145.3332754
18 Glendale Crescent,-38.0199094,145.3264429
26 Turner Street,-38.0368579,145.3583229
11 Melzak Way,-38.0437184,145.3358476
19 Cara Crescent,-38.0273029,145.3631105
32 Grand Arch Way,-38.0455008,145.3247907
16 Balfour Court,-38.019111,145.3376016
27 Harlem Way,-38.0725157,145.3693744
9A Kinsale View,-38.0450799,145.3230659
11 Rydaldene Way,-38.022695,145.3468149
1 Cresta Court,-38.0575267,145.3511495
4 Maybury Court,-38.0590374,145.3617704
41 Domain Drive,-38.0573685,145.3309831
13 Mornington Grove,-38.0070372,145.3256615
27 Hobart Avenue,-38.0433693,145.3548518
54 Bridge Road,-38.0737567,145.4268867
2 Hansel Avenue,-38.0704673,145.4023318
8 Hercules Drive,-38.0708162,145.4102197
13 Ample Avenue,-38.0733508,145.4220026
36 Columbia Drive,-38.0511566,145.4062064
5 Turnbridge Road,-38.0721772,145.432146
14 Clendon Drive,-38.0583608,145.436914
3 Utopia Way,-38.0705628,145.3985632
44 Petaluma Crescent,-38.0519887,145.4372962
1 Petworth Rise,-38.0492216,145.3982701
11 Sable Circuit,-38.0733385,145.4279374
18 Bronte Boulevard,-38.0744701,145.4245879
308 Saggar Lane,-38.0680481,145.4178068
12 Anfield Court,-38.0677857,145.424192
56 Duncombe Avenue,-38.0492115,145.4039866
31 Denton Drive,-38.0604606,145.3996399
68 Majestic Drive,-38.061194,145.4319982
52 Poe Circuit,-38.0745257,145.4128451
14 Toddington Avenue,-38.0509369,145.3959106
240 Celadon Walk,-38.0679846,145.4174443
15 Janice Street,-38.0646762,145.3892979
12 Shakespeare Grove,-38.0636163,145.4304049
23 Harmony Place,-38.0745298,145.4240372
3 Officedale Road,-38.0675915,145.4347606
4 Gatsby Drive,-38.0746632,145.4264715
32 Peridot Avenue,-38.0722364,145.4309302
302 Lustre Street,-38.0675646,145.4170057
4 Rosina Drive,-38.0609894,145.4011832
25 Topal Drive,-38.0738373,145.4344112
10 Goldsborough Drive,-38.0514683,145.3994959
14 Beatrix Circuit,-38.0728383,145.4090472
329 Kaolin Lane,-38.0686719,145.4175315
13 Melville Road,-38.0750869,145.4186504
18 Levens Way,-38.0538486,145.4006337
11 Blossom Street,-38.0827566,145.4259073
25 Lempriere Road,-38.0821459,145.4250466
16 Flemington Rise,-38.0653408,145.4286364
9 Allsburg Avenue,-38.0694851,145.405595
105 McMullen Road,-38.0525875,145.4215102
329 Kaolin Lane,-38.0686719,145.4175315
6 Janice Street,-38.0645191,145.3902413
54 Poe Circuit,-38.0744238,145.4128686
15 Flaxlilly Crescent,-38.0681697,145.4159928
11 Avatar Way,-38.0752929,145.4170041
6 Carnegie Street,-38.0690125,145.392401
15 Axnick Rise,-38.0517037,145.401175
9 Craft Street,-38.05631,145.4048224
9 Levens Way,-38.0534776,145.4000611
7 Biggs Drive,-38.0732449,145.4237511
224 Bentonite Walk,-38.0678451,145.4167154
310 Saggar Lane,-38.0680481,145.4178068
17 Christopher Road,-38.0698788,145.4228151
61 Jersey Crescent,-38.0700515,145.38884
68 Lincoln Avenue,-38.0684227,145.3874267
5/170 Princes Highway,-38.0709428,145.4753823
29 Golden Green,-38.0722524,145.4389257
56 Willowtree Drive,-38.0751751,145.4539968
21 Devine Drive,-38.0612268,145.4926771
6 Jonathan Place,-38.059579,145.502273
30 Britton Drive,-38.065859,145.4445864
16/18-20 Ben Drive,-38.0583678,145.5003386
19-21 Rachael Court,-38.066204,145.4891696
29 Summerhill Drive,-38.0565406,145.5167912
8 Dowd Court,-38.0723918,145.4668872
87 Park Orchard Drive,-38.0751908,145.4474496
37 Park Orchard Drive,-38.0738405,145.4424151
61 Downing Square,-38.0636013,145.4413867
71 Havana Parade,-38.0588635,145.453651
15 Ash Crescent,-38.0596249,145.4893661
44 Bronzewing street,-38.0828089,145.4466969
13 Bohemia Crescent,-38.0697946,145.4931738
1-2 Waroona Court,-38.0693231,145.4843509
4 Howey Road,-38.0676359,145.4742264
32 Howey Road,-38.0661459,145.4718976
4 Murray Avenue,-38.0818409,145.4633542
50 Arlington Avenue,-38.0755484,145.4878758
46 Wakenshaw Crescent,-38.0769253,145.4714215
19 Melrose Street,-38.0624587,145.4934066
29 Cormorant Parade,-38.0680089,145.4493561
18 Murchison Link,-38.064605,145.4456043
25 Joseph Banks Drive,-38.066648,145.4430175
9 Possum Place,-38.0777456,145.4567178
1/14 Charles Street,-38.0821121,145.4839503
61 Barrington Drive,-38.0762573,145.5003655
3 Cassowary Avenue,-38.0767658,145.4602831
12 Sun Orchid Drive,-38.0752426,145.4432666
8 Winneke Way,-38.0783657,145.461354
13 Wedgewood Drive,-38.064986,145.4935668
2 Albyn Close,-38.0668246,145.4751933
13 Aberdeen Heights,-38.062208,145.4800962
11 Whiteley Way,-38.0811064,145.455727
41 Rubus Way,-38.0742968,145.4366582
106/141 Windermere Boulevard,-38.0598342,145.5080168
46 Arthur Phillip Drive,-38.0773217,145.4668881
30 Hartland Circuit,-38.0688933,145.4590288
30 Tahoe Circuit,-38.0551147,145.5099178
19 Kingsdale Crescent,-38.071283,145.4416304
2 Redfern Way,-38.0836944,145.4783299
37 Britton Drive,-38.0648725,145.443009
5 Adam Court,-38.066255,145.4694422
5 Nathan Court,-38.0597949,145.4936063
2 Watergrass Court,-38.0843042,145.4500243
3 Carey Crescent,-38.0568278,145.4983009
7 Swamp Gum Close,-38.0574073,145.4919989
