name,address,coordinates
Wilson Botanic Park Berwick,"668 Princes Hwy, Berwick VIC 3806","145.336743,-38.0275344,0"
Pioneers Park,"Peel St, Berwick VIC 3806","145.3483333,-38.0283333,0"
Buchanan Park,"74 Clyde Rd, Berwick VIC 3806","145.3409644,-38.0385211,0"
Berwick Springs Parkland,Berwick VIC 3805,"145.3270935,-38.0620037,0"
Minta Hilltop Fantasy Playground,"Soho Bvd, Berwick VIC 3806","145.3635722,-38.0722076,0"
Leonard Avenue Park,"Parkhill Dr & Leonard Ave, Berwick VIC 3806, Parkhill Dr, Berwick VIC 3806","145.3218541,-38.0200829,0"
Rose Garden,Berwick VIC 3806,"145.3371855,-38.0276643,0"
Akoonah Park Picnic Grounds,"Princes Hwy, Berwick VIC 3806","145.3636035,-38.0402063,0"
Big ol' Park,"Thornley Dr, Berwick VIC 3806","145.3478841,-38.0582257,0"
Timbarra Park,Berwick VIC 3806,"145.3244233,-38.0136144,0"
Berwick Waters Grand Prix Playground,"90I Skylark Bvd, Clyde North VIC 3978","145.3713863,-38.0825834,0"
Berwick Waters Waterfront Park Playground,"14I Riverstone Blvd, Clyde North VIC 3978","145.3424679,-38.0780566,0"
Bellbird Park,"2 Bluebird Dr, Berwick VIC 3806","145.3362958,-38.0166333,0"
Akoonah Park,"2 Cardinia St, Berwick VIC 3806","145.3644965,-38.0404574,0"
Berwick Waters Tree Walk Park,"54I Crosswater Bvd, Clyde North VIC 3978","145.3518321,-38.0883026,0"
Warwick Glendenning Reserve,"19 Avebury Dr, Berwick VIC 3806","145.3393311,-38.0205677,0"
1001 Steps - Bayview Park,"188T Quarry Rd, Narre Warren North VIC 3805","145.3263923,-38.0040461,0"
Bridgewater Reserve,"2-6I Clendon St, Berwick VIC 3806","145.3485039,-38.0628527,0"
Berwick Springs Reserve Playground East,"56 Moondarra Dr, Berwick VIC 3806","145.3303178,-38.0633914,0"
Wilson Botanic Park Playground,"28 Quarry Hills Dr, Berwick VIC 3806","145.3368541,-38.026266,0"
Viewgrand Recreation Reserve,"100i Viewgrand Dr, Berwick VIC 3806","145.3449428,-38.06876889999999,0"
Berwick Springs Wetland Reserve,"Berwick Springs, Berwick VIC 3805","145.326609,-38.0597018,0"
Berwick Waters Park,Clyde North VIC 3978,"145.3407516,-38.0757581,0"
Berwick Waters Waterside Park Playground,"240 Sedge St, Clyde North VIC 3978","145.3376968,-38.0802641,0"
Fairholme Reserve,"Fairholme Blvd, Berwick VIC 3806","145.3563547,-38.0446077,0"
Berwick Waters,"22 Featherdown Wy, Clyde North VIC 3978","145.3393257,-38.0813847,0"
Hugh Hodson Reserve,Berwick VIC 3806,"145.3272528,-38.02560769999999,0"
Grices Road Recreation Reserve,"21 Grices Rd, Clyde North VIC 3978","145.3368366,-38.0745057,0"
Manna Gum Park,Beaconsfield VIC 3807,"145.3652472,-38.05315,0"
The Chase Reserve Reserve Playground,"11 Belle Cct, Berwick VIC 3806","145.3506487,-38.0695251,0"
Ryelands Drive Reserve Dog Park,Berwick VIC 3806,"145.3181064,-38.0184944,0"
Holm Park Reserve,"100 Beaconsfield-Emerald Rd, Beaconsfield VIC 3807","145.3731391,-38.0368244,0"
Sweeney Reserve Playground,"73 Melzak Way, Berwick VIC 3806","145.3258989,-38.0387568,0"
Eyrecourt Reserve Playground,"20I Como Parade, Clyde North VIC 3978","145.3593497,-38.0790476,0"
Timbertop Park Playground,"Leonard Ave &, Parkhill Dr, Berwick VIC 3806","145.3214874,-38.0197486,0"
Cresthaven,"Cresthaven Blvd, Berwick VIC 3806","145.3421596,-38.0640284,0"
Kurll Park Scenic Viewing Area,Narre Warren North VIC 3804,"145.3285462,-37.9985929,0"
Wilson Botanic Park - Parking,"670 Princes Hwy, Berwick VIC 3806","145.3368765,-38.0280515,0"
Sweeney Reserve,"701 Melzak Way, Berwick VIC 3806","145.3274014,-38.0389561,0"
Ray Bastin Reserve,"Narre Warren Skate Park, 2-14 Norfolk Dr, Narre Warren VIC 3805","145.3070918,-38.0335698,0"
Arena Park,Officer VIC 3809,"145.4273884,-38.0669148,0"
Frog Park??,"Onyx Cres, Officer VIC 3809","145.4268827,-38.0723602,0"
Officer District Park,"Lansell Ave, Officer VIC 3809","145.4286776,-38.0630656,0"
Harmony Park Playground,"32 Keats St, Officer VIC 3809","145.4228337,-38.0745377,0"
Dragon Park Playground,"Hansel Av, Officer VIC 3809","145.4028283,-38.0710463,0"
Gin Park,"19 Markbeech Cres, Officer VIC 3809","145.4334329,-38.0710049,0"
Flanagan Avenue Park Playground,"16 Gulliver Dr, Officer VIC 3809","145.4086651,-38.0716626,0"
Park Central,Officer VIC 3809,"145.3912432,-38.0692132,0"
Pioneer Way Park,"Pioneer Way, Officer VIC 3809","145.3993538,-38.0616059,0"
Heatherbrae Recreation Reserve,"12 Bellerive Ave, Officer VIC 3809","145.4214277,-38.0676922,0"
Onyx Crescent Fenced Dog Park,"Onyx Cres, Officer VIC 3809","145.4263583,-38.0720292,0"
Hillstowe Park,"14 Rosedene Ave, Officer VIC 3809","145.4081901,-38.0556914,0"
Robert Porter Recreation Reserve,Officer VIC 3809,"145.4161111,-38.06,0"
Arena Central Park Playground,"Gum Creek Cl, Officer VIC 3809","145.4304266,-38.0670965,0"
Hicks Reserve Playground,"24 Chiswick St, Officer VIC 3809","145.3998881,-38.0521406,0"
Public Park,"17 Clendon Dr, Officer VIC 3809","145.4357705,-38.0586785,0"
Comely Banks Recreation Reserve,"125 Bridge Rd, Officer VIC 3809","145.4173126,-38.0720329,0"
Devonia Park,Pakenham VIC 3810,"145.4427345,-38.0760389,0"
Leeson Street Park,"43 Kaduna Dr, Officer South VIC 3809","145.4262165,-38.0877304,0"
Leber Reserve,"48 Station St, Officer VIC 3809","145.4103338,-38.0645754,0"
Lakeside Park,"Lakeside Blvd, Pakenham VIC 3810","145.4502917,-38.066745,0"
Devonia Park,Pakenham VIC 3810,"145.4427345,-38.0760389,0"
Toomuc Recreation Reserve,Pakenham VIC 3810,"145.459673,-38.0651313,0"
PB Ronald Reserve,"Anderson St, Pakenham VIC 3810","145.483346,-38.0744514,0"
Lakeside Pakenham Lake,Pakenham VIC 3810,"145.4531744,-38.0665757,0"
The Circuit Park,"The Cct, Pakenham VIC 3810","145.4476852,-38.0625757,0"
William Bruce Ronald Reserve,"2/10 Heritage Blvd, Pakenham VIC 3810","145.4729719,-38.0788033,0"
Edenbrook Wetlands and Playground,"Edenbrook Cct, Pakenham VIC 3810","145.4517645,-38.0829624,0"
Ron Andrews Park,"Clifford Dr, Pakenham VIC 3810","145.4791779,-38.0845507,0"
Atkins Road Reserve,"Atkins Rd, Pakenham VIC 3810","145.4887033,-38.0692525,0"
Caversham Waters Wetlands,Pakenham VIC 3810,"145.4382797,-38.0755731,0"
Deep Creek Reserve,"Via, Cameron Way, Pakenham VIC 3810","145.5029099,-38.0780787,0"
Harrison Way Playground,"25 Harrison Way, Pakenham VIC 3810","145.4459266,-38.057871,0"
Eastone Reserve,Pakenham VIC 3810,"145.5081355,-38.0584421,0"
Oaklands Way Parkland,"Oaklands Way, Pakenham VIC 3810","145.4548498,-38.0702984,0"
The Parkway Playground,"19 The Circuit, Pakenham VIC 3810","145.445783,-38.0686513,0"
Officer District Park,"Lansell Ave, Officer VIC 3809","145.4286776,-38.0630656,0"
Ascot Park,"29 Ascot Park Dr, Pakenham VIC 3810","145.4887848,-38.0779666,0"
Creekwood Park Playground,"Oaklands Way, Pakenham VIC 3810","145.4534628,-38.0700923,0"
Frog Park??,"Onyx Cres, Officer VIC 3809","145.4268827,-38.0723602,0"
Oaklands Way Parkland,"Oaklands Way, Pakenham VIC 3810","145.4548498,-38.0702984,0"
Eastone Reserve,Pakenham VIC 3810,"145.5081355,-38.0584421,0"
Harrison Way Playground,"25 Harrison Way, Pakenham VIC 3810","145.4459266,-38.057871,0"
Deep Creek Reserve,"Via, Cameron Way, Pakenham VIC 3810","145.5029099,-38.0780787,0"
Cardinia Aqueduct Trail,"264 Thewlis Rd, Pakenham VIC 3810","145.4527248,-38.0375617,0"
Arena Park,Officer VIC 3809,"145.4273884,-38.0669148,0"
Creekwood Wetland,Pakenham VIC 3810,"145.4551105,-38.0733618,0"
Don Jackson Reserve Fenced Dog Park,"121 Ahern Rd, Pakenham VIC 3810","145.4847088,-38.059615,0"
Playground,Pakenham VIC 3810,"145.4426574,-38.0555381,0"
Hill-Top Park,"107 Timberline Pwy, Pakenham VIC 3810","145.4648618,-38.0527309,0"
Deep Creek Eco Playspace,"62 Cameron Way, Pakenham VIC 3810","145.5013495,-38.0784397,0"
Rotary Park,"Princes Hwy, Pakenham VIC 3810","145.4636279,-38.0647578,0"
Greenfield Lane Fenced Dog Park,"23 Greenfield Ln, Pakenham VIC 3810","145.4485812,-38.0755524,0"
Pakenham Major Recreation Reserve 2,"15 Willowbank Pocket, Pakenham VIC 3810","145.4600988,-38.0647243,0"
