name,coordinates,street_address,suburb,postcode,longitude,latitude
Wilson Botanic Park Berwick,"145.336743,-38.0275344,0",668 Princes Hwy,Berwick,3806,145.336743,-38.0275344
Pioneers Park,"145.3483333,-38.0283333,0",Peel St,Berwick,3806,145.3483333,-38.0283333
Buchanan Park,"145.3409644,-38.0385211,0",74 Clyde Rd,Berwick,3806,145.3409644,-38.0385211
Berwick Springs Parkland,"145.3270935,-38.0620037,0",,Berwick,3805,145.3270935,-38.0620037
Minta Hilltop Fantasy Playground,"145.3635722,-38.0722076,0",Soho Bvd,Berwick,3806,145.3635722,-38.0722076
Leonard Avenue Park,"145.3218541,-38.0200829,0","Parkhill Dr & Leonard Ave, Berwick VIC 3806, Parkhill Dr",Berwick,3806,145.3218541,-38.0200829
Rose Garden,"145.3371855,-38.0276643,0",,Berwick,3806,145.3371855,-38.0276643
Akoonah Park Picnic Grounds,"145.3636035,-38.0402063,0",Princes Hwy,Berwick,3806,145.3636035,-38.0402063
Big ol' Park,"145.3478841,-38.0582257,0",Thornley Dr,Berwick,3806,145.3478841,-38.0582257
Timbarra Park,"145.3244233,-38.0136144,0",,Berwick,3806,145.3244233,-38.0136144
Berwick Waters Grand Prix Playground,"145.3713863,-38.0825834,0",90I Skylark Bvd,Clyde North,3978,145.3713863,-38.0825834
Berwick Waters Waterfront Park Playground,"145.3424679,-38.0780566,0",14I Riverstone Blvd,Clyde North,3978,145.3424679,-38.0780566
Bellbird Park,"145.3362958,-38.0166333,0",2 Bluebird Dr,Berwick,3806,145.3362958,-38.0166333
Akoonah Park,"145.3644965,-38.0404574,0",2 Cardinia St,Berwick,3806,145.3644965,-38.0404574
Berwick Waters Tree Walk Park,"145.3518321,-38.0883026,0",54I Crosswater Bvd,Clyde North,3978,145.3518321,-38.0883026
Warwick Glendenning Reserve,"145.3393311,-38.0205677,0",19 Avebury Dr,Berwick,3806,145.3393311,-38.0205677
1001 Steps - Bayview Park,"145.3263923,-38.0040461,0",188T Quarry Rd,Narre Warren North,3805,145.3263923,-38.0040461
Bridgewater Reserve,"145.3485039,-38.0628527,0",2-6I Clendon St,Berwick,3806,145.3485039,-38.0628527
Berwick Springs Reserve Playground East,"145.3303178,-38.0633914,0",56 Moondarra Dr,Berwick,3806,145.3303178,-38.0633914
Wilson Botanic Park Playground,"145.3368541,-38.026266,0",28 Quarry Hills Dr,Berwick,3806,145.3368541,-38.026266
Viewgrand Recreation Reserve,"145.3449428,-38.06876889999999,0",100i Viewgrand Dr,Berwick,3806,145.3449428,-38.06876889999999
Berwick Springs Wetland Reserve,"145.326609,-38.0597018,0",Berwick Springs,Berwick,3805,145.326609,-38.0597018
Berwick Waters Park,"145.3407516,-38.0757581,0",,Clyde North,3978,145.3407516,-38.0757581
Berwick Waters Waterside Park Playground,"145.3376968,-38.0802641,0",240 Sedge St,Clyde North,3978,145.3376968,-38.0802641
Fairholme Reserve,"145.3563547,-38.0446077,0",Fairholme Blvd,Berwick,3806,145.3563547,-38.0446077
Berwick Waters,"145.3393257,-38.0813847,0",22 Featherdown Wy,Clyde North,3978,145.3393257,-38.0813847
Hugh Hodson Reserve,"145.3272528,-38.02560769999999,0",,Berwick,3806,145.3272528,-38.02560769999999
Grices Road Recreation Reserve,"145.3368366,-38.0745057,0",21 Grices Rd,Clyde North,3978,145.3368366,-38.0745057
Manna Gum Park,"145.3652472,-38.05315,0",,Beaconsfield,3807,145.3652472,-38.05315
The Chase Reserve Reserve Playground,"145.3506487,-38.0695251,0",11 Belle Cct,Berwick,3806,145.3506487,-38.0695251
Ryelands Drive Reserve Dog Park,"145.3181064,-38.0184944,0",,Berwick,3806,145.3181064,-38.0184944
Holm Park Reserve,"145.3731391,-38.0368244,0",100 Beaconsfield-Emerald Rd,Beaconsfield,3807,145.3731391,-38.0368244
Sweeney Reserve Playground,"145.3258989,-38.0387568,0",73 Melzak Way,Berwick,3806,145.3258989,-38.0387568
Eyrecourt Reserve Playground,"145.3593497,-38.0790476,0",20I Como Parade,Clyde North,3978,145.3593497,-38.0790476
Timbertop Park Playground,"145.3214874,-38.0197486,0","Leonard Ave &, Parkhill Dr",Berwick,3806,145.3214874,-38.0197486
Cresthaven,"145.3421596,-38.0640284,0",Cresthaven Blvd,Berwick,3806,145.3421596,-38.0640284
Kurll Park Scenic Viewing Area,"145.3285462,-37.9985929,0",,Narre Warren North,3804,145.3285462,-37.9985929
Wilson Botanic Park - Parking,"145.3368765,-38.0280515,0",670 Princes Hwy,Berwick,3806,145.3368765,-38.0280515
Sweeney Reserve,"145.3274014,-38.0389561,0",701 Melzak Way,Berwick,3806,145.3274014,-38.0389561
Ray Bastin Reserve,"145.3070918,-38.0335698,0","Narre Warren Skate Park, 2-14 Norfolk Dr",Narre Warren,3805,145.3070918,-38.0335698
Arena Park,"145.4273884,-38.0669148,0",,Officer,3809,145.4273884,-38.0669148
Frog Park??,"145.4268827,-38.0723602,0",Onyx Cres,Officer,3809,145.4268827,-38.0723602
Officer District Park,"145.4286776,-38.0630656,0",Lansell Ave,Officer,3809,145.4286776,-38.0630656
Harmony Park Playground,"145.4228337,-38.0745377,0",32 Keats St,Officer,3809,145.4228337,-38.0745377
Dragon Park Playground,"145.4028283,-38.0710463,0",Hansel Av,Officer,3809,145.4028283,-38.0710463
Gin Park,"145.4334329,-38.0710049,0",19 Markbeech Cres,Officer,3809,145.4334329,-38.0710049
Flanagan Avenue Park Playground,"145.4086651,-38.0716626,0",16 Gulliver Dr,Officer,3809,145.4086651,-38.0716626
Park Central,"145.3912432,-38.0692132,0",,Officer,3809,145.3912432,-38.0692132
Pioneer Way Park,"145.3993538,-38.0616059,0",Pioneer Way,Officer,3809,145.3993538,-38.0616059
Heatherbrae Recreation Reserve,"145.4214277,-38.0676922,0",12 Bellerive Ave,Officer,3809,145.4214277,-38.0676922
Onyx Crescent Fenced Dog Park,"145.4263583,-38.0720292,0",Onyx Cres,Officer,3809,145.4263583,-38.0720292
Hillstowe Park,"145.4081901,-38.0556914,0",14 Rosedene Ave,Officer,3809,145.4081901,-38.0556914
Robert Porter Recreation Reserve,"145.4161111,-38.06,0",,Officer,3809,145.4161111,-38.06
Arena Central Park Playground,"145.4304266,-38.0670965,0",Gum Creek Cl,Officer,3809,145.4304266,-38.0670965
Hicks Reserve Playground,"145.3998881,-38.0521406,0",24 Chiswick St,Officer,3809,145.3998881,-38.0521406
Public Park,"145.4357705,-38.0586785,0",17 Clendon Dr,Officer,3809,145.4357705,-38.0586785
Comely Banks Recreation Reserve,"145.4173126,-38.0720329,0",125 Bridge Rd,Officer,3809,145.4173126,-38.0720329
Devonia Park,"145.4427345,-38.0760389,0",,Pakenham,3810,145.4427345,-38.0760389
Leeson Street Park,"145.4262165,-38.0877304,0",43 Kaduna Dr,Officer South,3809,145.4262165,-38.0877304
Leber Reserve,"145.4103338,-38.0645754,0",48 Station St,Officer,3809,145.4103338,-38.0645754
Lakeside Park,"145.4502917,-38.066745,0",Lakeside Blvd,Pakenham,3810,145.4502917,-38.066745
Toomuc Recreation Reserve,"145.459673,-38.0651313,0",,Pakenham,3810,145.459673,-38.0651313
PB Ronald Reserve,"145.483346,-38.0744514,0",Anderson St,Pakenham,3810,145.483346,-38.0744514
Lakeside Pakenham Lake,"145.4531744,-38.0665757,0",,Pakenham,3810,145.4531744,-38.0665757
The Circuit Park,"145.4476852,-38.0625757,0",The Cct,Pakenham,3810,145.4476852,-38.0625757
William Bruce Ronald Reserve,"145.4729719,-38.0788033,0",2/10 Heritage Blvd,Pakenham,3810,145.4729719,-38.0788033
Edenbrook Wetlands and Playground,"145.4517645,-38.0829624,0",Edenbrook Cct,Pakenham,3810,145.4517645,-38.0829624
Ron Andrews Park,"145.4791779,-38.0845507,0",Clifford Dr,Pakenham,3810,145.4791779,-38.0845507
Atkins Road Reserve,"145.4887033,-38.0692525,0",Atkins Rd,Pakenham,3810,145.4887033,-38.0692525
Caversham Waters Wetlands,"145.4382797,-38.0755731,0",,Pakenham,3810,145.4382797,-38.0755731
Deep Creek Reserve,"145.5029099,-38.0780787,0","Via, Cameron Way",Pakenham,3810,145.5029099,-38.0780787
Harrison Way Playground,"145.4459266,-38.057871,0",25 Harrison Way,Pakenham,3810,145.4459266,-38.057871
Eastone Reserve,"145.5081355,-38.0584421,0",,Pakenham,3810,145.5081355,-38.0584421
Oaklands Way Parkland,"145.4548498,-38.0702984,0",Oaklands Way,Pakenham,3810,145.4548498,-38.0702984
The Parkway Playground,"145.445783,-38.0686513,0",19 The Circuit,Pakenham,3810,145.445783,-38.0686513
Ascot Park,"145.4887848,-38.0779666,0",29 Ascot Park Dr,Pakenham,3810,145.4887848,-38.0779666
Creekwood Park Playground,"145.4534628,-38.0700923,0",Oaklands Way,Pakenham,3810,145.4534628,-38.0700923
Cardinia Aqueduct Trail,"145.4527248,-38.0375617,0",264 Thewlis Rd,Pakenham,3810,145.4527248,-38.0375617
Creekwood Wetland,"145.4551105,-38.0733618,0",,Pakenham,3810,145.4551105,-38.0733618
Don Jackson Reserve Fenced Dog Park,"145.4847088,-38.059615,0",121 Ahern Rd,Pakenham,3810,145.4847088,-38.059615
Playground,"145.4426574,-38.0555381,0",,Pakenham,3810,145.4426574,-38.0555381
Hill-Top Park,"145.4648618,-38.0527309,0",107 Timberline Pwy,Pakenham,3810,145.4648618,-38.0527309
Deep Creek Eco Playspace,"145.5013495,-38.0784397,0",62 Cameron Way,Pakenham,3810,145.5013495,-38.0784397
Rotary Park,"145.4636279,-38.0647578,0",Princes Hwy,Pakenham,3810,145.4636279,-38.0647578
Greenfield Lane Fenced Dog Park,"145.4485812,-38.0755524,0",23 Greenfield Ln,Pakenham,3810,145.4485812,-38.0755524
Pakenham Major Recreation Reserve 2,"145.4600988,-38.0647243,0",15 Willowbank Pocket,Pakenham,3810,145.4600988,-38.0647243
