name,address,coordinates
The Heritage Shopping Centre,"1 Livingstone Blvd, Pakenham VIC 3810","145.4722501,-38.0850096,0"
Arena Shopping Centre,"26/4 Cardinia Rd, Officer VIC 3809","145.436648,-38.064803,0"
Village Lakeside Shopping Centre,"9 Lakeside Blvd, Pakenham VIC 3810","145.4553325,-38.0638289,0"
Pakenham Lifestyle Centre,"825 Princes Hwy, Pakenham VIC 3810","145.4536219,-38.0600692,0"
Cardinia Lakes Shopping Centre,"141 Windermere Blvd, Pakenham VIC 3810","145.5067465,-38.0631505,0"
The Village Pakenham,"Shop/1 Hunt Way, Pakenham VIC 3810","145.4916808,-38.0794432,0"
HomeCo Pakenham,"825 Princes Hwy, Pakenham VIC 3810","145.4540408,-38.0610208,0"
Pakenham Marketplace,"50, 54 John St, Pakenham VIC 3810","145.484052,-38.0783925,0"
Pakenham Place Shopping Centre,"67/79 Main St, Pakenham VIC 3810","145.4787156,-38.0781319,0"
Lakeside Square,"9 Village Way, Pakenham VIC 3810","145.4377704,-38.0724861,0"
Parkhill Plaza Shopping Centre,"215-225 Parkhill Dr, Berwick VIC 3806","145.3227081,-38.0143281,0"
Eden Rise Village,"1 O'Shea Rd, Berwick VIC 3806","145.3395588,-38.0617778,0"
Westfield Fountain Gate,"25/55 Overland Dr, Narre Warren VIC 3805","145.3042913,-38.0172493,0"
Beaconsfield Shopping Plaza,"55 Old Princes Hwy, Beaconsfield VIC 3807","145.3683025,-38.0451334,0"
Casey Central,"400 Narre Warren - Cranbourne Rd, Narre Warren South VIC 3805","145.3001416,-38.0671339,0"
Casey Lifestyle Centre,"430-440 Princes Hwy, Narre Warren VIC 3805","145.3085393,-38.0250265,0"
The Square Berwick,"121 Grices Rd, Clyde North VIC 3978","145.3501102,-38.0769637,0"
The Avenue Village Shopping Centre,"Cnr William Thwaites Boulevard & Thompsons Road, Cranbourne North VIC 3977","145.3172867,-38.0858609,0"
Narre Warren North Village Centre,"1C Oakview Blvd, Narre Warren North VIC 3804","145.3167857,-37.9807375,0"
Berwick Marketplace,"Lyall Rd, Berwick VIC 3806","145.3469703,-38.0297139,0"
Lakeside Square,"9 Village Way, Pakenham VIC 3810","145.4377704,-38.0724861,0"
One Centre Square Officer,"43 Siding Ave, Officer VIC 3809","145.4136895,-38.067901,0"
Arena Shopping Centre,"26/4 Cardinia Rd, Officer VIC 3809","145.436648,-38.064803,0"
