name,coordinates,street_address,suburb,postcode,longitude,latitude
The Heritage Shopping Centre,"145.4722501,-38.0850096,0",1 Livingstone Blvd,Pakenham,3810,145.4722501,-38.0850096
Arena Shopping Centre,"145.436648,-38.064803,0",26/4 Cardinia Rd,Officer,3809,145.436648,-38.064803
Village Lakeside Shopping Centre,"145.4553325,-38.0638289,0",9 Lakeside Blvd,Pakenham,3810,145.4553325,-38.0638289
Pakenham Lifestyle Centre,"145.4536219,-38.0600692,0",825 Princes Hwy,Pakenham,3810,145.4536219,-38.0600692
Cardinia Lakes Shopping Centre,"145.5067465,-38.0631505,0",141 Windermere Blvd,Pakenham,3810,145.5067465,-38.0631505
The Village Pakenham,"145.4916808,-38.0794432,0",Shop/1 Hunt Way,Pakenham,3810,145.4916808,-38.0794432
HomeCo Pakenham,"145.4540408,-38.0610208,0",825 Princes Hwy,Pakenham,3810,145.4540408,-38.0610208
Pakenham Marketplace,"145.484052,-38.0783925,0","50, 54 John St",Pakenham,3810,145.484052,-38.0783925
Pakenham Place Shopping Centre,"145.4787156,-38.0781319,0",67/79 Main St,Pakenham,3810,145.4787156,-38.0781319
Lakeside Square,"145.4377704,-38.0724861,0",9 Village Way,Pakenham,3810,145.4377704,-38.0724861
Parkhill Plaza Shopping Centre,"145.3227081,-38.0143281,0",215-225 Parkhill Dr,Berwick,3806,145.3227081,-38.0143281
Eden Rise Village,"145.3395588,-38.0617778,0",1 O'Shea Rd,Berwick,3806,145.3395588,-38.0617778
Westfield Fountain Gate,"145.3042913,-38.0172493,0",25/55 Overland Dr,Narre Warren,3805,145.3042913,-38.0172493
Beaconsfield Shopping Plaza,"145.3683025,-38.0451334,0",55 Old Princes Hwy,Beaconsfield,3807,145.3683025,-38.0451334
Casey Central,"145.3001416,-38.0671339,0",400 Narre Warren - Cranbourne Rd,Narre Warren South,3805,145.3001416,-38.0671339
Casey Lifestyle Centre,"145.3085393,-38.0250265,0",430-440 Princes Hwy,Narre Warren,3805,145.3085393,-38.0250265
The Square Berwick,"145.3501102,-38.0769637,0",121 Grices Rd,Clyde North,3978,145.3501102,-38.0769637
The Avenue Village Shopping Centre,"145.3172867,-38.0858609,0",Cnr William Thwaites Boulevard & Thompsons Road,Cranbourne North,3977,145.3172867,-38.0858609
Narre Warren North Village Centre,"145.3167857,-37.9807375,0",1C Oakview Blvd,Narre Warren North,3804,145.3167857,-37.9807375
Berwick Marketplace,"145.3469703,-38.0297139,0",Lyall Rd,Berwick,3806,145.3469703,-38.0297139
One Centre Square Officer,"145.4136895,-38.067901,0",43 Siding Ave,Officer,3809,145.4136895,-38.067901
